text,label
Congratulations! You've won a $1000 gift card.,1
URGENT: Your account needs verification. Click here.,1
"Exclusive limited-time offer: Buy one, get one free!",1
Meeting agenda for the week attached.,0
Invoice for your recent purchase. Payment due in 3 days.,1
Reminder: Team meeting tomorrow at 10 AM.,0
Unlock premium features with our new subscription plan.,1
Important security update for your online account.,1
Your package has been shipped. Track your order here.,0
Claim your free trial of our latest software.,1
Invitation to our annual conference on innovation.,0
Final call: Confirm your email subscription.,1
Your job application status: Interview scheduled.,0
Breaking news: Exclusive discounts for loyal customers.,1
Confirm your attendance for the upcoming event.,0
Spam detection system update: Stay protected.,1
Get 20% off on all purchases this weekend only!,1
Reminder: Submit your expense reports by end of the month.,0
Your opinion matters! Take our survey and win prizes.,1
Last chance to register for the webinar on AI technology.,0
Flash sale alert! Limited quantities available.,1
Your weekly newsletter with the latest updates.,0
Free workshop on digital marketing strategies.,0
Activate your membership for VIP access and benefits.,1
Important: Verify your identity to avoid account suspension.,1
New product launch: Be the first to try it!,1
Update your preferences for personalized recommendations.,0
Your flight confirmation and travel details.,0
Double your savings with our exclusive holiday offer!,1
Review your recent purchase and get a 10% discount code.,0
Join our loyalty program for special perks and rewards.,1
Security alert: Unusual activity detected in your account.,1
Save the date: Company anniversary celebration next week.,0
"Limited-time promotion: Buy two, get one free!",1
Your monthly subscription invoice is ready for payment.,1
Invitation to participate in a research study on consumer behavior.,0
Stay informed with our daily news digest.,0
Upgrade to our premium plan for unlimited access.,1
Confirmation of your registration for the upcoming workshop.,0
Unsubscribe from our mailing list to stop receiving updates.,1
Your account password has been reset. Click to confirm.,1
Exclusive offer for our loyal customers: 30% off your next purchase.,1
Join our webinar on productivity hacks for a successful year.,0
Your credit card statement for the month of January.,0
Get a free sample of our new product. Limited supplies available.,1
Important notice: Changes to our privacy policy.,1
Reminder: Complete your online course before the deadline.,0
Unlock premium content with our VIP membership.,1
Special discount for your birthday: Enjoy 25% off!,1
Your feedback is valuable to us. Take our survey and win prizes.,1
Congratulations! You've been selected for a free trial of our premium service.,1
Your job application has been received. We'll contact you for an interview soon.,0
"Limited-time offer: Buy three, get one free! Don't miss out.",1
Your account has been credited with bonus points. Redeem them now.,1
Reminder: Parent-teacher conference this Friday at 3 PM.,0
Exclusive early access to our Black Friday deals. Shop now!,1
Important update: Software patch available for download.,0
Your weekly fitness tips and workout schedule.,0
Upgrade to our platinum membership for VIP benefits.,1
Security alert: Suspicious login attempt detected.,1
Last chance to save 50% on our online courses. Enroll today!,1
Your online purchase has been confirmed. Track your shipment.,0
Invitation to our product launch event. RSVP now!,0
Activate your free trial of our premium video streaming service.,1
Verify your email address to receive our newsletter.,1
Your account balance is low. Please top up to avoid service disruption.,1
Exclusive offer for our mobile app users. Download now!,1
Reminder: Dental checkup appointment tomorrow at 2 PM.,0
Unlock special discounts with our loyalty program.,1
Important notice: Scheduled maintenance on our website this weekend.,1
Your digital magazine subscription is expiring. Renew now.,1
Join our community forum for discussions and updates.,0
Congratulations on reaching a milestone! Celebrate with us.,1
Your online banking password has been reset. Log in to confirm.,1
Exclusive access to our members-only sale. Shop before anyone else!,1
Upgrade to our latest software version for enhanced features.,1
Important information about your upcoming flight.,0
Your online job application has been shortlisted. Prepare for an interview.,0
Special discount for loyal customers. Use code 'LOYAL20'.,1
Your account has been credited with reward points. Use them now.,1
Reminder: Parent-teacher conference rescheduled to next week.,0
Unlock premium features with our new app update.,1
Security alert: Unusual spending activity on your credit card.,1
Last day to take advantage of our summer sale. Don't miss out!,1
Your monthly utility bill is ready for payment. View and pay online.,1
Invitation to our community cleanup event this Saturday.,0
Upgrade to our gold membership for exclusive benefits.,1
Security notice: Change your password to enhance account security.,1
Your order is out for delivery. Track it in real-time.,0
Claim your free sample of our latest skincare product.,1
Exclusive offer for our newsletter subscribers. Use code 'SUBSCRIBE10'.,1
Important update: Changes to our terms of service.,1
Reminder: Book club meeting tomorrow at the library.,0
Unlock VIP status with our premium subscription plan.,1
Special discount for students: 20% off on all purchases.,1
Your account has been upgraded to premium status. Enjoy the benefits!,1
Security alert: Unauthorized access attempt detected. Secure your account.,1
Join our workshop on financial planning for a secure future.,0
Your weekly recipe newsletter with delicious meal ideas.,0
Upgrade to our diamond membership for the ultimate experience.,1
Last chance to win a luxury vacation! Enter our sweepstakes now.,1
Your online course enrollment is confirmed. Classes start next week.,0
Important notice: Emergency evacuation drill this Friday.,0
Your account has been credited with bonus points. Redeem them for discounts.,1
Exclusive offer for our mobile app users. Download now for special deals.,1
Reminder: Dentist appointment tomorrow at 11 AM.,0
Unlock special perks with our loyalty program. Join now!,1
Important information about your health insurance coverage.,0
Your exclusive invitation to our VIP customer appreciation event.,1
Security notice: Change your password to prevent unauthorized access.,1
Your job application has been reviewed. We're pleased to offer you a position.,0
Special discount for our top customers: 50% off on your next purchase.,1
Your account has been credited with a cashback reward. Claim it now.,1
Upgrade to our platinum membership for premium benefits.,1
Security alert: Suspicious activity on your social media account.,1
Exclusive offer for our newsletter subscribers. Use code 'NEWS20'.,1
Important update: Mandatory software update available for download.,0
Reminder: Attend our webinar on career development next Monday.,0
Unlock premium features with our latest app update.,1
Your order has been processed and will be shipped soon. Track it online.,0
Claim your free trial of our language learning app. Limited availability.,1
Exclusive offer for our VIP members: Early access to our holiday sale.,1
Important notice: Changes to our operating hours during the holidays.,1
Your weekly tech news digest with the latest industry updates.,0
Upgrade to our silver membership for enhanced benefits.,1
Security alert: Unusual login activity detected on your account.,1
Last day to save 40% on our online courses. Enroll now!,1
Your account password has been successfully reset. Log in to confirm.,1
Join our live stream event for a chance to win exciting prizes.,1
Special discount for our valued customers: 30% off on all purchases.,1
Your account has been credited with reward points. Redeem them for discounts.,1
Reminder: Parent-teacher conference tomorrow at 4 PM.,0
Unlock premium content with our new subscription plan.,1
Security notice: Change your password to ensure account security.,1
Your monthly utility bill is ready for payment. View and pay online.,1
Invitation to our community cleanup event this Saturday.,0
Upgrade to our gold membership for exclusive benefits.,1
Security alert: Unauthorized access attempt detected. Secure your account.,1
Your order is out for delivery. Track it in real-time.,0
Claim your free sample of our latest skincare product.,1
Exclusive offer for our newsletter subscribers. Use code 'SUBSCRIBE10'.,1
Important update: Changes to our terms of service.,1
Reminder: Book club meeting tomorrow at the library.,0
Unlock VIP status with our premium subscription plan.,1
Special discount for students: 20% off on all purchases.,1
Your account has been upgraded to premium status. Enjoy the benefits!,1
Security alert: Unauthorized access attempt detected. Secure your account.,1
Join our workshop on financial planning for a secure future.,0
Your weekly recipe newsletter with delicious meal ideas.,0
Upgrade to our diamond membership for the ultimate experience.,1
Last chance to win a luxury vacation! Enter our sweepstakes now.,1
Your online course enrollment is confirmed. Classes start next week.,0
Important notice: Emergency evacuation drill this Friday.,0
Your account has been credited with bonus points. Redeem them for discounts.,1
Exclusive offer for our mobile app users. Download now for special deals.,1
Reminder: Dentist appointment tomorrow at 11 AM.,0
Unlock special perks with our loyalty program. Join now!,1
Important information about your health insurance coverage.,0
Your exclusive invitation to our VIP customer appreciation event.,1
Security notice: Change your password to prevent unauthorized access.,1
Your job application has been reviewed. We're pleased to offer you a position.,0
Special discount for our top customers: 50% off on your next purchase.,1
Your account has been credited with a cashback reward. Claim it now.,1
Upgrade to our platinum membership for premium benefits.,1
Security alert: Suspicious activity on your social media account.,1
Exclusive offer for our newsletter subscribers. Use code 'NEWS20'.,1
Important update: Mandatory software update available for download.,0
Reminder: Attend our webinar on career development next Monday.,0
Unlock premium features with our latest app update.,1
Your order has been processed and will be shipped soon. Track it online.,0
Claim your free trial of our language learning app. Limited availability.,1
Exclusive offer for our VIP members: Early access to our holiday sale.,1
Important notice: Changes to our operating hours during the holidays.,1
Your weekly tech news digest with the latest industry updates.,0
Upgrade to our silver membership for enhanced benefits.,1
Security alert: Unusual login activity detected on your account.,1
Last day to save 40% on our online courses. Enroll now!,1
Your account password has been successfully reset. Log in to confirm.,1
Join our live stream event for a chance to win exciting prizes.,1
Special discount for our valued customers: 30% off on all purchases.,1
Your account has been credited with reward points. Redeem them for discounts.,1
Reminder: Parent-teacher conference tomorrow at 4 PM.,0
Unlock premium content with our new subscription plan.,1
Security notice: Change your password to ensure account security.,1
Your monthly utility bill is ready for payment. View and pay online.,1
Invitation to our community cleanup event this Saturday.,0
Upgrade to our gold membership for exclusive benefits.,1
Security alert: Unauthorized access attempt detected. Secure your account.,1
Your order is out for delivery. Track it in real-time.,0
Claim your free sample of our latest skincare product.,1
Exclusive offer for our newsletter subscribers. Use code 'SUBSCRIBE10'.,1
Important update: Changes to our terms of service.,1
Reminder: Book club meeting tomorrow at the library.,0
Unlock VIP status with our premium subscription plan.,1
Special discount for students: 20% off on all purchases.,1
Your account has been upgraded to premium status. Enjoy the benefits!,1
Security alert: Unauthorized access attempt detected. Secure your account.,1
Join our workshop on financial planning for a secure future.,0
Your weekly recipe newsletter with delicious meal ideas.,0
Upgrade to our diamond membership for the ultimate experience.,1
Last chance to win a luxury vacation! Enter our sweepstakes now.,1
Your online course enrollment is confirmed. Classes start next week.,0
Important notice: Emergency evacuation drill this Friday.,0
Your account has been credited with bonus points. Redeem them for discounts.,1
Exclusive offer for our mobile app users. Download now for special deals.,1
Reminder: Dentist appointment tomorrow at 11 AM.,0
Unlock special perks with our loyalty program. Join now!,1
Important information about your health insurance coverage.,0
Your exclusive invitation to our VIP customer appreciation event.,1
Security notice: Change your password to prevent unauthorized access.,1
Your job application has been reviewed. We're pleased to offer you a position.,0
"Special discount for our top customers: 50%
",1
